Starting ticketing process with 100 tickets.
Vendor 1 started.
Vendor 2 started.
Vendor 3 started.
Vendor 1 added ticket no: 1
Vendor 4 started.
Vendor 3 added ticket no: 1
Vendor 5 started.
Vendor 4 added ticket no: 1
Vendor 2 added ticket no: 1
Vendor 5 added ticket no: 1
Customer 1 started.
Customer 1 booked ticket no: 1
Customer 2 started.
Customer 2 booked ticket no: 1
Ticketing process initialized with 5 vendors and 2 customers.
Vendor 5 added ticket no: 2
Vendor 3 added ticket no: 2
Vendor 2 added ticket no: 2
Vendor 1 added ticket no: 2
Vendor 4 added ticket no: 2
Vendor 4 added ticket no: 3
Vendor 5 added ticket no: 3
Vendor 2 added ticket no: 3
Vendor 1 added ticket no: 3
Vendor 3 added ticket no: 3
Vendor 3 added ticket no: 4
Vendor 5 added ticket no: 4
Vendor 2 added ticket no: 4
Vendor 4 added ticket no: 4
Vendor 1 added ticket no: 4
Vendor 1 added ticket no: 5
Vendor 2 added ticket no: 5
Vendor 4 added ticket no: 5
Vendor 3 added ticket no: 5
Vendor 5 added ticket no: 5
Customer 2 booked ticket no: 1
Customer 1 booked ticket no: 1
Vendor 1 added ticket no: 6
Vendor 5 added ticket no: 6
Vendor 4 added ticket no: 6
Vendor 2 added ticket no: 6
Vendor 3 added ticket no: 6
Vendor 3 added ticket no: 7
Vendor 4 added ticket no: 7
Vendor 2 added ticket no: 7
Vendor 5 added ticket no: 7
Vendor 1 added ticket no: 7
Vendor 3 added ticket no: 8
Vendor 1 added ticket no: 8
Vendor 2 added ticket no: 8
Vendor 4 added ticket no: 8
Vendor 5 added ticket no: 8
Vendor 3 added ticket no: 9
Vendor 1 added ticket no: 9
Vendor 2 added ticket no: 9
Vendor 4 added ticket no: 9
Vendor 5 added ticket no: 9
Vendor 3 added ticket no: 10
Vendor 2 added ticket no: 10
Vendor 1 added ticket no: 10
Vendor 4 added ticket no: 10
Vendor 5 added ticket no: 10
Customer 1 booked ticket no: 1
Customer 2 booked ticket no: 2
Vendor 3 added ticket no: 11
Vendor 2 added ticket no: 11
Vendor 1 added ticket no: 11
Vendor 4 added ticket no: 11
Vendor 5 added ticket no: 11
Vendor 3 added ticket no: 12
Vendor 2 added ticket no: 12
Vendor 1 added ticket no: 12
Vendor 5 added ticket no: 12
Vendor 4 added ticket no: 12
Vendor 3 added ticket no: 13
Vendor 2 added ticket no: 13
Vendor 1 added ticket no: 13
Vendor 5 added ticket no: 13
Vendor 4 added ticket no: 13
Vendor 3 added ticket no: 14
Vendor 2 added ticket no: 14
Vendor 1 added ticket no: 14
Vendor 5 added ticket no: 14
Vendor 4 added ticket no: 14
Vendor 3 added ticket no: 15
Vendor 2 added ticket no: 15
Vendor 1 added ticket no: 15
Vendor 5 added ticket no: 15
Vendor 4 added ticket no: 15
Customer 1 booked ticket no: 2
Customer 2 booked ticket no: 2
Vendor 3 added ticket no: 16
Vendor 2 added ticket no: 16
Vendor 1 added ticket no: 16
Vendor 5 added ticket no: 16
Vendor 4 added ticket no: 16
Vendor 3 added ticket no: 17
Vendor 2 added ticket no: 17
Vendor 1 added ticket no: 17
Vendor 5 added ticket no: 17
Vendor 4 added ticket no: 17
Vendor 3 added ticket no: 18
Vendor 2 added ticket no: 18
Vendor 1 added ticket no: 18
Vendor 4 added ticket no: 18
Vendor 5 added ticket no: 18
Vendor 3 added ticket no: 19
Vendor 2 added ticket no: 19
Vendor 1 added ticket no: 19
Vendor 4 added ticket no: 19
Vendor 5 added ticket no: 19
Vendor 3 added ticket no: 20
Vendor 2 added ticket no: 20
Vendor 1 added ticket no: 20
Customer 2 booked ticket no: 2
Customer 1 booked ticket no: 2
Vendor 4 added ticket no: 20
Vendor 5 added ticket no: 20
Vendor 3 added ticket no: 21
Vendor 2 added ticket no: 21
Vendor 1 added ticket no: 21
Vendor 5 added ticket no: 21
Vendor 4 added ticket no: 21
Vendor 3 added ticket no: 22
Vendor 2 added ticket no: 22
Vendor 1 added ticket no: 22
Vendor 4 added ticket no: 22
Vendor 5 added ticket no: 22
Vendor 3 added ticket no: 23
Vendor 2 added ticket no: 23
Vendor 5 added ticket no: 23
Vendor 4 added ticket no: 23
Vendor 1 added ticket no: 23
Vendor 3 added ticket no: 24
